level,type,whereToSpawnX,whereToSpawnY,whenSpawn,health
1,Asteroid,100,0,10,10 
1,Asteroid,100,0,108,10 
1,Asteroid,100,0,203,10 
1,Asteroid,100,0,285,10 
1,Asteroid,100,0,372,10 
1,Asteroid,350,0,462,10 
1,Asteroid,350,0,560,10 
1,Asteroid,350,0,653,10 
1,Asteroid,350,0,747,10 
1,Asteroid,350,0,831,10 
1,Asteroid,350,0,926,10 
1,Asteroid,350,0,1012,10 
1,Asteroid,200,0,1060,10 
1,Asteroid,200,0,1115,10 
1,Asteroid,200,0,1179,10 
1,Asteroid,200,0,1237,10 
1,Asteroid,200,0,1334,10 
1,Asteroid,200,0,1411,10 
1,Asteroid,200,0,1493,10 
1,Asteroid,200,0,1534,10 
1,Asteroid,100,0,1586,10 
1,Asteroid,200,0,1673,10 
1,Asteroid,250,0,1738,10 
1,Asteroid,400,0,1812,10 
